Formula 1
Genetic Run 3: Time=1.0476 seconds, Flips=81
Genetic Run 4: Time=1.0807 seconds, Flips=82
Genetic Run 5: Time=1.0298 seconds, Flips=82
Genetic Run 6: Time=1.0373 seconds, Flips=81
Genetic Run 7: Time=1.0026 seconds, Flips=82
Genetic Run 8: Time=1.0025 seconds, Flips=82
Genetic Run 9: Time=1.0073 seconds, Flips=82
Genetic Run 10: Time=1.0331 seconds, Flips=83

Formula 11
DPLL: Time=0.0010 seconds, Nodes expanded=13
WalkSAT Run 1: Time=0.3590 seconds, Max satisfied=82
WalkSAT Run 2: Time=0.3594 seconds, Max satisfied=82
WalkSAT Run 3: Time=0.3606 seconds, Max satisfied=82
WalkSAT Run 4: Time=0.3546 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3510 seconds, Max satisfied=82
WalkSAT Run 6: Time=0.3615 seconds, Max satisfied=82
WalkSAT Run 7: Time=0.3526 seconds, Max satisfied=82
WalkSAT Run 8: Time=0.3580 seconds, Max satisfied=82
WalkSAT Run 9: Time=0.3574 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3560 seconds, Max satisfied=82
Genetic Run 1: Time=1.0473 seconds, Flips=82
Genetic Run 2: Time=1.0466 seconds, Flips=81
Genetic Run 3: Time=1.0215 seconds, Flips=81
Genetic Run 4: Time=1.0363 seconds, Flips=83
Genetic Run 5: Time=1.0527 seconds, Flips=82
Genetic Run 6: Time=1.0295 seconds, Flips=83
Genetic Run 7: Time=0.9944 seconds, Flips=82
Genetic Run 8: Time=0.9767 seconds, Flips=82
Genetic Run 9: Time=0.9977 seconds, Flips=83
Genetic Run 10: Time=0.9774 seconds, Flips=82

Formula 12
DPLL: Time=0.0078 seconds, Nodes expanded=59
WalkSAT Run 1: Time=0.3518 seconds, Max satisfied=82
WalkSAT Run 2: Time=0.3603 seconds, Max satisfied=82
WalkSAT Run 3: Time=0.3568 seconds, Max satisfied=82
WalkSAT Run 4: Time=0.3528 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3518 seconds, Max satisfied=82
WalkSAT Run 6: Time=0.3472 seconds, Max satisfied=82
WalkSAT Run 7: Time=0.3477 seconds, Max satisfied=82
WalkSAT Run 8: Time=0.3623 seconds, Max satisfied=82
WalkSAT Run 9: Time=0.3598 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3570 seconds, Max satisfied=82
Genetic Run 1: Time=1.0224 seconds, Flips=81
Genetic Run 2: Time=0.9804 seconds, Flips=83
Genetic Run 3: Time=1.0226 seconds, Flips=81
Genetic Run 4: Time=0.9951 seconds, Flips=82
Genetic Run 5: Time=1.0260 seconds, Flips=82
Genetic Run 6: Time=0.9471 seconds, Flips=82
Genetic Run 7: Time=0.9513 seconds, Flips=82
Genetic Run 8: Time=0.9758 seconds, Flips=80
Genetic Run 9: Time=1.0246 seconds, Flips=82
Genetic Run 10: Time=0.9228 seconds, Flips=82

Formula 13
DPLL: Time=0.0014 seconds, Nodes expanded=14
WalkSAT Run 1: Time=0.3337 seconds, Max satisfied=83
WalkSAT Run 2: Time=0.3378 seconds, Max satisfied=81
WalkSAT Run 3: Time=0.3491 seconds, Max satisfied=82
WalkSAT Run 4: Time=0.3445 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3453 seconds, Max satisfied=81
WalkSAT Run 6: Time=0.3437 seconds, Max satisfied=83
WalkSAT Run 7: Time=0.3474 seconds, Max satisfied=82
WalkSAT Run 8: Time=0.3442 seconds, Max satisfied=81
WalkSAT Run 9: Time=0.3391 seconds, Max satisfied=81
WalkSAT Run 10: Time=0.3342 seconds, Max satisfied=81
Genetic Run 1: Time=0.2891 seconds, Flips=84
